2024-08-13 00:43:13 status half-installed dirmngr:amd64 2.2.40-1.1
2024-08-13 00:43:14 status unpacked dirmngr:amd64 2.2.40-1.1
2024-08-13 00:43:14 install gnupg-l10n:all <none> 2.2.40-1.1
2024-08-13 00:43:14 status half-installed gnupg-l10n:all 2.2.40-1.1
2024-08-13 00:43:14 status unpacked gnupg-l10n:all 2.2.40-1.1
2024-08-13 00:43:14 install gnupg-utils:amd64 <none> 2.2.40-1.1
2024-08-13 00:43:14 status half-installed gnupg-utils:amd64 2.2.40-1.1
2024-08-13 00:43:14 status unpacked gnupg-utils:amd64 2.2.40-1.1
2024-08-13 00:43:14 install libsqlite3-0:amd64 <none> 3.40.1-2
2024-08-13 00:43:14 status half-installed libsqlite3-0:amd64 3.40.1-2
2024-08-13 00:43:14 status unpacked libsqlite3-0:amd64 3.40.1-2
2024-08-13 00:43:14 install gpg:amd64 <none> 2.2.40-1.1
2024-08-13 00:43:14 status half-installed gpg:amd64 2.2.40-1.1
2024-08-13 00:43:14 status unpacked gpg:amd64 2.2.40-1.1
2024-08-13 00:43:14 install libncursesw6:amd64 <none> 6.4-4
2024-08-13 00:43:14 status half-installed libncursesw6:amd64 6.4-4
2024-08-13 00:43:14 status unpacked libncursesw6:amd64 6.4-4
2024-08-13 00:43:14 install pinentry-curses:amd64 <none> 1.2.1-1
2024-08-13 00:43:14 status half-installed pinentry-curses:amd64 1.2.1-1
2024-08-13 00:43:14 status unpacked pinentry-curses:amd64 1.2.1-1
2024-08-13 00:43:14 install gpg-agent:amd64 <none> 2.2.40-1.1
2024-08-13 00:43:14 status half-installed gpg-agent:amd64 2.2.40-1.1
2024-08-13 00:43:14 status unpacked gpg-agent:amd64 2.2.40-1.1
2024-08-13 00:43:14 install gpg-wks-client:amd64 <none> 2.2.40-1.1
2024-08-13 00:43:14 status half-installed gpg-wks-client:amd64 2.2.40-1.1
2024-08-13 00:43:14 status unpacked gpg-wks-client:amd64 2.2.40-1.1
2024-08-13 00:43:14 install gpg-wks-server:amd64 <none> 2.2.40-1.1
2024-08-13 00:43:14 status half-installed gpg-wks-server:amd64 2.2.40-1.1
2024-08-13 00:43:14 status unpacked gpg-wks-server:amd64 2.2.40-1.1
2024-08-13 00:43:14 install gpgsm:amd64 <none> 2.2.40-1.1
2024-08-13 00:43:14 status half-installed gpgsm:amd64 2.2.40-1.1
2024-08-13 00:43:14 status unpacked gpgsm:amd64 2.2.40-1.1
2024-08-13 00:43:14 install gnupg:all <none> 2.2.40-1.1
2024-08-13 00:43:14 status half-installed gnupg:all 2.2.40-1.1
2024-08-13 00:43:14 status unpacked gnupg:all 2.2.40-1.1
2024-08-13 00:43:14 install sq:amd64 <none> 0.27.0-2+b1
2024-08-13 00:43:14 status half-installed sq:amd64 0.27.0-2+b1
2024-08-13 00:43:14 status unpacked sq:amd64 0.27.0-2+b1
2024-08-13 00:43:15 startup packages configure
2024-08-13 00:43:15 configure libksba8:amd64 1.6.3-2 <none>
2024-08-13 00:43:15 status unpacked libksba8:amd64 1.6.3-2
2024-08-13 00:43:15 status half-configured libksba8:amd64 1.6.3-2
2024-08-13 00:43:15 status installed libksba8:amd64 1.6.3-2
2024-08-13 00:43:15 configure libkeyutils1:amd64 1.6.3-2 <none>
2024-08-13 00:43:15 status unpacked libkeyutils1:amd64 1.6.3-2
2024-08-13 00:43:15 status half-configured libkeyutils1:amd64 1.6.3-2
2024-08-13 00:43:15 status installed libkeyutils1:amd64 1.6.3-2
2024-08-13 00:43:15 configure libpsl5:amd64 0.21.2-1 <none>
2024-08-13 00:43:15 status unpacked libpsl5:amd64 0.21.2-1
2024-08-13 00:43:15 status half-configured libpsl5:amd64 0.21.2-1
2024-08-13 00:43:15 status installed libpsl5:amd64 0.21.2-1
2024-08-13 00:43:15 configure wget:amd64 1.21.3-1+b2 <none>
2024-08-13 00:43:15 status unpacked wget:amd64 1.21.3-1+b2
2024-08-13 00:43:15 status half-configured wget:amd64 1.21.3-1+b2
2024-08-13 00:43:15 status installed wget:amd64 1.21.3-1+b2
2024-08-13 00:43:15 configure libbrotli1:amd64 1.0.9-2+b6 <none>
2024-08-13 00:43:15 status unpacked libbrotli1:amd64 1.0.9-2+b6
2024-08-13 00:43:15 status half-configured libbrotli1:amd64 1.0.9-2+b6
2024-08-13 00:43:15 status installed libbrotli1:amd64 1.0.9-2+b6
2024-08-13 00:43:15 configure libsqlite3-0:amd64 3.40.1-2 <none>
2024-08-13 00:43:15 status unpacked libsqlite3-0:amd64 3.40.1-2
2024-08-13 00:43:15 status half-configured libsqlite3-0:amd64 3.40.1-2
2024-08-13 00:43:15 status installed libsqlite3-0:amd64 3.40.1-2
2024-08-13 00:43:15 configure libssl3:amd64 3.0.13-1~deb12u1 <none>
2024-08-13 00:43:15 status unpacked libssl3:amd64 3.0.13-1~deb12u1
2024-08-13 00:43:15 status half-configured libssl3:amd64 3.0.13-1~deb12u1
2024-08-13 00:43:15 status installed libssl3:amd64 3.0.13-1~deb12u1
2024-08-13 00:43:15 configure libnghttp2-14:amd64 1.52.0-1+deb12u1 <none>
2024-08-13 00:43:15 status unpacked libnghttp2-14:amd64 1.52.0-1+deb12u1
2024-08-13 00:43:15 status half-configured libnghttp2-14:amd64 1.52.0-1+deb12u1
2024-08-13 00:43:15 status installed libnghttp2-14:amd64 1.52.0-1+deb12u1
2024-08-13 00:43:15 configure libnpth0:amd64 1.6-3 <none>
2024-08-13 00:43:15 status unpacked libnpth0:amd64 1.6-3
2024-08-13 00:43:15 status half-configured libnpth0:amd64 1.6-3
2024-08-13 00:43:15 status installed libnpth0:amd64 1.6-3
2024-08-13 00:43:15 configure sq:amd64 0.27.0-2+b1 <none>
2024-08-13 00:43:15 status unpacked sq:amd64 0.27.0-2+b1
2024-08-13 00:43:15 status half-configured sq:amd64 0.27.0-2+b1
2024-08-13 00:43:15 status installed sq:amd64 0.27.0-2+b1
2024-08-13 00:43:15 configure libassuan0:amd64 2.5.5-5 <none>
2024-08-13 00:43:15 status unpacked libassuan0:amd64 2.5.5-5
2024-08-13 00:43:15 status half-configured libassuan0:amd64 2.5.5-5
2024-08-13 00:43:15 status installed libassuan0:amd64 2.5.5-5
2024-08-13 00:43:15 configure libkrb5support0:amd64 1.20.1-2+deb12u2 <none>
2024-08-13 00:43:15 status unpacked libkrb5support0:amd64 1.20.1-2+deb12u2
2024-08-13 00:43:15 status half-configured libkrb5support0:amd64 1.20.1-2+deb12u2
2024-08-13 00:43:15 status installed libkrb5support0:amd64 1.20.1-2+deb12u2
2024-08-13 00:43:15 configure libsasl2-modules-db:amd64 2.1.28+dfsg-10 <none>
2024-08-13 00:43:15 status unpacked libsasl2-modules-db:amd64 2.1.28+dfsg-10
2024-08-13 00:43:15 status half-configured libsasl2-modules-db:amd64 2.1.28+dfsg-10
2024-08-13 00:43:15 status installed libsasl2-modules-db:amd64 2.1.28+dfsg-10
2024-08-13 00:43:15 configure gnupg-l10n:all 2.2.40-1.1 <none>
2024-08-13 00:43:15 status unpacked gnupg-l10n:all 2.2.40-1.1
2024-08-13 00:43:15 status half-configured gnupg-l10n:all 2.2.40-1.1
2024-08-13 00:43:15 status installed gnupg-l10n:all 2.2.40-1.1
2024-08-13 00:43:15 configure librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2 <none>
2024-08-13 00:43:15 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2024-08-13 00:43:15 status half-configured librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2024-08-13 00:43:15 status installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2024-08-13 00:43:15 configure libncursesw6:amd64 6.4-4 <none>
2024-08-13 00:43:15 status unpacked libncursesw6:amd64 6.4-4
2024-08-13 00:43:15 status half-configured libncursesw6:amd64 6.4-4
2024-08-13 00:43:15 status installed libncursesw6:amd64 6.4-4
2024-08-13 00:43:15 configure libk5crypto3:amd64 1.20.1-2+deb12u2 <none>
2024-08-13 00:43:15 status unpacked libk5crypto3:amd64 1.20.1-2+deb12u2
2024-08-13 00:43:15 status half-configured libk5crypto3:amd64 1.20.1-2+deb12u2
2024-08-13 00:43:15 status installed libk5crypto3:amd64 1.20.1-2+deb12u2
2024-08-13 00:43:15 configure libsasl2-2:amd64 2.1.28+dfsg-10 <none>
